Episode,Total Reward,Steps,Loss
225,150,266,0.24902649403066562
226,8,8,0.22288506105542183
227,168,264,0.1754734034254921
228,681,1054,0.1223313569761035
229,8,8,0.15548329567536712
230,8,8,0.08739747479557991
231,356,527,0.11232640367333531
232,4,4,0.6179436668753624
233,8,8,0.414117943495512
234,86,132,0.35387645616675867
235,2,2,0.2128475159406662
236,8,8,0.2696550339460373
237,366,525,0.18045602095269023
238,158,265,0.15712574485619113
239,190,262,0.12117570091238003
240,330,529,0.12305327491493216
241,22,33,0.12093485609600038
242,54,65,0.334902363557082
243,4,4,0.2609420157968998
244,44,66,0.2783507210287181
245,16,16,0.21597835887223482
246,2,2,0.24045874178409576
247,82,132,0.21349259832817497
248,22,33,0.15729279906460733
249,76,133,0.1728192126952616
250,172,263,0.15827915198506057
251,68,134,0.15819799938975876
252,324,529,0.23110040450479222
253,54,65,0.1340350332741554
254,32,32,0.1313838865607977
255,158,265,0.16260668805466508
256,10,34,0.15711897984147072
257,4,4,0.3761738911271095
258,8,8,0.23621151875704527
259,318,530,0.16438874884174678
260,4,4,0.11787784099578857
261,4,4,0.1549133975058794
262,16,16,0.3730284944176674
263,82,132,0.28039648112925614
264,655,1057,0.1882991102773453
265,-2,9,0.13670111944278082
266,2,2,0.10570239648222923
267,4,4,0.13426156342029572
268,20,33,0.11363835226405751
269,44,66,0.1305776180304361
270,138,267,0.1282563568668419
271,172,264,0.14723450356078419
272,8,8,0.5770428515970707
273,20,33,0.4943561680389173
274,4,4,0.3810903951525688
275,172,264,0.32014634894828004
276,352,527,0.18133448085533826
277,42,66,0.13741604080705933
278,8,8,0.08837052062153816
279,32,32,0.11669425235595554
280,368,526,0.1331364121217238
281,382,524,0.13054360787007419
282,16,16,0.5276429746299982
283,16,16,0.43644505739212036
284,202,261,0.3105296659857834
285,182,263,0.18104603756289972
286,54,65,0.1951863863147222
287,20,33,0.18685142131465854
288,16,16,0.16974264569580555
289,8,8,0.13938740082085133
290,94,131,0.14549170570974132
291,4,4,0.12228430807590485
292,16,16,0.38001766987144947
293,310,531,0.22908751387324486
294,342,528,0.18395581340530154
295,86,132,0.14908945791874872
296,22,33,0.16919875359444908
297,641,1058,0.16771523010105402
298,14,16,0.22111217794008553
299,4,4,0.17580218613147736
300,32,32,0.12093755486421287
301,4,4,0.11581590585410595
302,32,32,0.4139577033929527
303,8,8,0.35306575894355774
304,320,531,0.2700200569438845
305,4,4,0.1639991570264101
306,2,2,0.15520943701267242
307,16,16,0.14608205016702414
308,8,8,0.3041034583002329
309,4,4,0.4752993956208229
310,348,527,0.1691355770577516
311,326,530,0.15078873966802966
312,8,8,0.5023564025759697
313,8,8,0.6523012071847916
314,164,265,0.3590307695685693
315,154,265,0.23620197056037076
316,2,2,0.1035563088953495
317,2,2,0.20859938114881516
318,14,16,0.18542636558413506
319,352,527,0.1645860944006882
320,176,264,0.1661921706417519
321,697,1053,0.13898509577029905
322,34,67,0.45278045223720037
323,74,133,0.3757172150159241
324,8,8,0.3069141376763582
325,328,529,0.2290124464040668
326,74,133,0.14709060549511946
327,32,32,0.12952936277724802
328,8,8,0.14733486995100975
329,2,2,0.21033646166324615
330,174,264,0.1503035897445498
331,4,4,0.23720618709921837
332,4,4,0.42238549143075943
333,8,8,0.37402852810919285
334,4,4,0.4686115011572838
335,2,2,0.3255285322666168
336,354,527,0.2716957625758037
337,172,264,0.19493557933266414
338,108,130,0.15230315032486733
339,180,263,0.15669190298638416
340,64,64,0.13536214956548065
341,80,132,0.13951392454857175
342,4,4,0.43004409223794937
343,64,134,0.3624242370697989
344,647,1058,0.2049038010299037
345,703,1053,0.15535390233764282
346,20,33,0.1511645791205493
347,44,66,0.15974286012351513
348,308,531,0.18772510321295194
349,8,8,0.2877575531601906
350,104,130,0.17475554656523926
351,6,17,0.15505601334221222
352,30,32,0.5779997827485204
353,2,2,0.4571571946144104
354,2,2,0.3682553172111511
355,86,132,0.4271061528812755
356,4,4,0.3142964020371437
357,8,8,0.3499797359108925
358,32,67,0.2801711730547805
359,96,131,0.24639274151498125
360,182,263,0.2256630744940881
361,282,534,0.1509616103734863
362,6,17,0.42142610514865203
363,4,4,0.3437250182032585
364,174,264,0.34757151251489465
365,66,134,0.2973933932718946
366,16,16,0.27820566669106483
367,2,2,0.3103027194738388
368,6,17,0.23599814053844004
369,737,1049,0.15710280096252494
370,16,16,0.16941118938848376
371,2,2,0.2428814433515072
372,20,33,0.41003419413711084
373,2,2,0.39940814673900604
374,8,8,0.344380347058177
375,16,16,0.3750846963375807
376,4,4,0.30989615619182587
377,16,16,0.36322537902742624
378,32,32,0.3603193792514503
379,54,65,0.3360906172257203
380,705,1053,0.1841404674201496
381,16,16,0.25553914764896035
382,2,2,0.5191424340009689
383,94,131,0.403142660514999
384,266,535,0.2520500438792683
385,40,66,0.2640410643635374
386,16,16,0.18281790800392628
387,6,17,0.19650034387322032
388,180,263,0.1870555145658921
389,300,532,0.1703034118448097
390,316,530,0.17365676414854123
391,86,132,0.19661875148162697
392,32,32,0.5247175814583898
393,12,34,0.4175410279456307
394,681,1055,0.23891473277626443
395,314,530,0.1645638419631517
396,673,1056,0.16226404326064794
397,4,4,0.16185922920703888
398,16,16,0.13583275070413947
399,8,8,0.13089921604841948
400,4,4,0.11348611488938332
401,4,4,0.13293065503239632
402,54,135,0.5262176107477259
403,16,16,0.39368939213454723
404,12,34,0.39630021286361355
405,613,1061,0.2252332816544734
406,8,8,0.13405558001250029
407,6,17,0.17180754726423936
408,8,34,0.15936743029776743
409,687,1054,0.15317073097519676
410,32,32,0.26029301760718226
